QKEY,INTERVIEW_START_W147,INTERVIEW_END_W147,DEVICE_TYPE_W147,LANG_W147,XPANEL_W147,XATPSAMPLE_W147,SATLIFE_MOD_a_W147,SATLIFE_MOD_b_W147,SATLIFE_MOD_c_W147,SATLIFE_MOD_d_W147,SATLIFE_MOD_f_W147,EVERPAR_W147,DOV_KP_ELIGIBLE_W147,HAVEKIDS1_W147,MARITALMOD_W147,COMMREL_W147,LWPREL_W147,SEEKING_W147,LIVARRANG_W147,LIVINGPAR_W147,SIBLIV_W147,FAMKIDS_W147,EMPLSIT_W147,IMPACTGOALS_a_W147,IMPACTGOALS_b_W147,IMPACTGOALS_c_W147,IMPACTGOALS_d_W147,IMPACTGOALS_e_W147,WORRY_FUTR_a_W147,WORRY_FUTR_b_W147,WORRY_FUTR_c_W147,WORRY_FUTR_d_W147,KIDSEVER_W147,RSNNOCHLD_S1_a_W147,RSNNOCHLD_S1_b_W147,RSNNOCHLD_S1_c_W147,RSNNOCHLD_S1_d_W147,RSNNOCHLD_S1_e_W147,RSNNOCHLD_S1_f_W147,RSNNOCHLD_S1_g_W147,RSNNOCHLD_S1_h_W147,RSNNOCHLD_S1_i_W147,RSNNOCHLD_S1_j_W147,RSNNOCHLD_S1_k_W147,RSNNOCHLD_S2_a_W147,RSNNOCHLD_S2_b_W147,RSNNOCHLD_S2_c_W147,RSNNOCHLD_S2_d_W147,RSNNOCHLD_S2_e_W147,RSNNOCHLD_S2_f_W147,RSNNOCHLD_S2_g_W147,RSNNOCHLD_S2_h_W147,RSNNOCHLD_S2_i_W147,RSNNOCHLD_S2_j_W147,IMPACTLIFE_a_W147,IMPACTLIFE_b_W147,IMPACTLIFE_c_W147,IMPACTLIFE_d_W147,IMPACTLIFE_e_W147,IMPACTLIFE_f_W147,WORKNOKID_a_W147,WORKNOKID_b_W147,WORKNOKID_c_W147,WORKNOKID_d_W147,WORKNOKID_e_W147,RELNOKID_a_W147,RELNOKID_b_W147,RELNOKID_c_W147,RELNOKID_d_W147,PRESNOKID_a_W147,PRESNOKID_b_W147,PRESNOKID_c_W147,PRESNOKID_d_W147,CAREPAR1_W147,CAREPAR2_a_W147,CAREPAR2_b_W147,CAREPAR2_c_W147,CAREPAR2_d_W147,CAREPAR2_e_W147,TALK_KIDS_a_W147,TALK_KIDS_b_W147,TALK_KIDS_c_W147,FRNDKIDS_W147,IMPCTDATE_W147,F_METRO,F_CREGION,F_CDIVISION,F_USR_SELFID,F_AGECAT,F_GENDER,F_EDUCCAT,F_EDUCCAT2,F_HISP,F_YEARSINUS_RECODE,F_RACECMB,F_RACETHNMOD,F_BIRTHPLACE,F_RELIG,F_RELIGCAT1,F_PARTY_FINAL,F_PARTYLN_FINAL,F_PARTYSUM_FINAL,F_PARTYSUMIDEO_FINAL,F_REG,F_INC_SDT1,F_IDEO,F_INTFREQ,F_VOLSUM,F_INC_TIER2,WEIGHT_W147_UNDER50,WEIGHT_W147_50PLUS
3901,2024-05-10T17:28:10Z,2024-05-10T17:39:06Z,1,1,1,,3,3,3,6,1,2,1,,1,,,,,2,1,2,5,2,2,3,2,2,3,3,2,3,1,1,3,3,1,3,3,3,3,3,3,1,,,,,,,,,,,2,3,4,4,3,4,,,,,,3,4,,4,5,3,3,3,,,,,,,,,,,,1,2,3,2,4,2,3,2,2,1,1,1,1,5,4,3,1,1,2,1,2,3,1,2,1,,0.7576688874824572
3902,2024-05-10T17:28:28Z,2024-05-10T17:34:02Z,1,1,1,,1,2,4,2,1,2,1,,2,1,2,,1,1,2,3,1,1,3,1,3,3,3,3,5,5,2,3,3,3,3,3,3,1,3,2,1,3,,,,,,,,,,,1,1,1,1,1,4,2,2,1,2,1,3,3,3,3,5,4,5,4,2,,,,,,,,,,,2,2,3,3,3,1,3,2,2,1,1,1,1,9,3,2,,2,4,2,2,5,1,2,2,,1.5885436832691862
3907,2024-05-10T17:29:07Z,2024-05-10T17:36:46Z,1,1,1,,2,3,5,5,6,2,1,,2,2,,,1,2,1,1,5,1,1,1,3,3,3,1,1,4,1,1,3,3,3,3,3,3,3,3,3,1,,,,,,,,,,,2,2,1,1,1,1,,,,,,,1,,1,5,5,3,5,,,,,,,,,,,,2,3,7,3,4,2,3,2,2,1,1,1,1,12,3,3,2,2,4,1,1,4,2,2,1,,0.6599207023906207
3909,2024-05-10T17:29:11Z,2024-05-10T17:33:57Z,1,1,1,,1,1,2,6,1,2,1,,1,,,,,2,3,4,5,1,1,3,2,3,4,4,4,4,2,3,3,3,3,3,3,2,3,3,1,3,,,,,,,,,,,3,3,3,3,3,3,,,,,,3,3,,,5,5,3,5,,,,,,,,,,,,1,4,9,1,4,2,3,2,2,1,1,1,1,12,3,2,,2,3,1,5,3,2,1,2,,0.5063727067255557
3911,2024-05-10T17:29:28Z,2024-05-10T17:36:45Z,1,1,1,,2,2,2,6,1,2,1,,1,,,,,2,2,2,5,3,2,3,2,3,3,4,4,4,2,2,3,3,3,3,3,3,3,1,1,3,,,,,,,,,,,1,1,1,3,2,4,,,,,,2,3,,3,5,5,5,5,,,,,,,,,,,,2,2,4,3,4,2,2,3,2,1,1,1,1,2,2,4,2,2,3,1,9,3,2,1,3,,0.9103730667287454
3914,2024-05-10T17:29:54Z,2024-05-10T17:36:19Z,2,1,1,,2,2,3,6,6,2,1,,5,2,,,1,2,1,2,3,3,3,3,1,3,4,3,4,5,1,3,3,1,3,3,3,3,3,3,3,1,,,,,,,,,,,3,2,6,3,3,3,,,,,,,3,,1,5,5,5,5,,,,,,,,,,,,1,1,1,1,4,2,3,1,2,1,1,1,1,5,4,2,,2,3,1,1,3,2,2,1,,0.6821631742111479
3915,2024-05-10T17:30:03Z,2024-05-10T17:51:16Z,1,1,1,,2,3,1,2,2,2,1,,1,,,,,1,2,2,1,3,1,3,3,3,3,1,3,2,1,99,99,99,99,99,99,99,99,99,99,99,,,,,,,,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,5,5,5,5,4,,,,,,,,,,,1,3,5,3,3,1,3,2,2,1,1,1,1,2,2,1,,1,2,1,3,3,2,2,2,,1.5322065411533041
3916,2024-05-10T17:30:09Z,2024-05-10T18:06:46Z,2,1,1,,2,2,3,6,2,2,1,,5,1,1,,,1,2,3,4,3,3,3,3,3,2,3,4,2,1,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,5,5,5,1,5,6,,,,,,1,1,3,1,5,5,3,5,1,3,3,3,3,3,,,,,,1,2,3,3,3,2,3,1,2,99,2,2,99,1,1,2,,2,4,3,1,5,3,2,1,,0.4700938723676852
3919,2024-05-10T17:30:29Z,2024-05-10T17:40:35Z,1,1,1,,1,3,3,2,3,2,1,,5,1,2,,1,2,3,3,2,1,1,3,1,3,3,2,3,3,3,3,1,2,3,2,1,3,3,3,3,1,,,,,,,,,,,5,5,3,2,2,6,2,2,1,2,1,3,3,,,5,5,5,5,,,,,,,,,,,,2,2,3,1,4,1,3,2,2,1,1,1,1,12,3,3,2,2,3,1,1,3,3,1,2,,0.7243048857883904
3920,2024-05-10T17:30:52Z,2024-05-10T17:36:19Z,2,1,1,,2,2,3,2,2,2,1,,5,2,,,1,1,2,2,1,3,3,3,3,3,5,4,5,5,2,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,3,3,3,3,3,3,2,2,2,2,2,,3,3,3,5,5,5,5,3,,,,,,,,,,,2,2,3,3,3,1,2,3,2,1,1,1,1,1,1,2,,2,4,1,2,4,1,2,2,,1.368043270564049
3922,2024-05-10T17:31:04Z,2024-05-10T17:40:53Z,1,1,1,,1,1,1,6,1,2,1,,1,,,,,2,3,3,5,3,3,3,3,3,5,5,5,5,2,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,3,3,3,3,3,3,,,,,,3,3,,,5,5,5,5,,,,,,,,,,,,1,4,8,2,4,1,3,1,2,1,1,1,1,12,3,3,1,1,1,1,8,1,4,2,2,,1.1610759378550053
3923,2024-05-10T17:31:36Z,2024-05-10T17:38:42Z,1,1,1,,4,5,5,6,2,2,1,,4,1,2,,2,1,1,3,5,1,1,1,1,1,1,1,1,5,2,3,1,1,1,3,1,1,1,1,1,1,,,,,,,,,,,1,1,1,3,1,1,,,,,,3,1,1,1,5,5,5,5,1,1,1,1,3,3,,,,,,1,2,3,1,4,2,2,4,2,1,1,1,1,1,1,1,,1,1,1,2,1,4,2,1,,1.247850644196517
3924,2024-05-10T17:31:52Z,2024-05-10T17:41:40Z,2,1,1,,3,3,3,6,6,2,1,,2,2,,,1,2,2,3,5,1,1,3,2,2,3,2,3,5,1,1,3,3,3,3,3,3,3,3,3,1,,,,,,,,,,,2,2,3,7,2,6,,,,,,,3,,3,5,5,5,5,,,,,,,,,,,,1,2,3,3,3,2,3,2,2,1,1,1,1,1,1,3,1,1,2,3,1,3,2,2,1,,0.6924165736213107
3932,2024-05-10T17:32:30Z,2024-05-10T17:36:20Z,3,1,1,,3,5,3,4,6,2,1,,5,2,,,1,2,3,4,1,3,3,3,3,3,5,3,3,5,1,3,3,3,3,3,3,3,3,3,3,1,,,,,,,,,,,5,7,6,7,1,7,2,1,2,2,2,,3,,,5,5,5,5,,,,,,,,,,,,1,1,2,2,3,1,3,2,2,1,1,1,1,2,2,2,,2,3,1,2,3,2,2,2,,1.4267513865964365
3936,2024-05-10T17:33:40Z,2024-05-10T17:48:02Z,3,1,1,,1,1,1,6,6,2,1,,5,2,,,2,2,2,2,5,99,99,99,99,99,1,5,5,5,2,3,3,3,3,3,2,3,3,3,3,3,,,,,,,,,,,1,1,6,7,1,6,,,,,,,1,,1,6,4,4,5,,,,,,,,,,,,1,3,7,3,4,2,3,2,2,1,1,1,1,12,3,2,,2,3,1,1,3,5,2,1,,1.6042669655590325
3938,2024-05-10T17:33:45Z,2024-05-10T17:39:52Z,2,1,1,,3,3,4,3,6,2,1,,5,2,,,2,1,2,2,3,3,1,3,2,3,3,3,3,3,2,3,3,2,3,3,3,2,3,2,1,3,,,,,,,,,,,2,3,3,1,2,3,,,,,,,3,3,3,5,5,5,5,1,2,1,1,1,2,,,,,,1,4,9,2,3,1,2,3,1,1,1,3,1,2,2,3,2,2,3,1,2,3,1,2,1,,1.3422833669679408
3940,2024-05-10T17:33:49Z,2024-05-10T17:41:52Z,2,1,1,,1,1,1,6,1,2,1,,1,,,,,2,2,2,5,1,1,1,1,1,4,1,4,3,3,2,3,3,2,2,1,3,3,2,2,2,,,,,,,,,,,1,1,1,1,1,1,,,,,,3,3,,3,5,5,5,5,,,,,,,,,,,,1,3,7,3,4,2,2,3,2,1,1,1,1,2,2,2,,2,3,1,3,3,1,2,2,,1.091524854062629
3942,2024-05-10T17:34:24Z,2024-05-10T17:40:40Z,1,1,1,,3,3,3,3,6,2,1,,5,2,,,3,1,1,1,1,1,3,1,2,2,4,3,5,5,1,3,3,1,3,3,3,3,3,2,3,1,,,,,,,,,,,2,2,3,3,2,3,2,2,2,2,2,,99,99,99,6,5,5,4,3,,,,,,,,,,,1,4,9,2,3,1,1,5,2,1,1,1,1,12,3,4,1,1,1,1,9,1,2,2,3,,1.2752189777484904
3944,2024-05-10T17:34:37Z,2024-05-10T17:44:03Z,2,1,1,,2,3,3,6,6,2,1,,2,2,,,1,2,3,4,5,3,3,3,2,2,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,3,3,3,3,3,3,,,,,,,3,,,5,5,5,5,,,,,,,,,,,,1,3,5,1,3,2,3,2,1,1,1,3,1,12,3,4,99,9,9,2,1,3,4,2,1,,0.6663343258180803
3947,2024-05-10T17:34:52Z,2024-05-10T17:42:13Z,1,1,1,,4,4,3,6,6,2,1,,5,2,,,1,2,2,2,5,1,1,3,2,3,3,3,2,5,1,3,3,1,3,3,3,3,2,3,1,3,,,,,,,,,,,1,7,7,3,1,3,,,,,,,3,,3,4,5,5,5,,,,,,,,,,,,1,4,9,2,4,1,2,3,2,1,1,1,1,9,3,3,99,9,9,1,3,3,1,2,2,,0.6492057765693944
3952,2024-05-10T17:35:22Z,2024-05-10T17:44:27Z,1,1,1,,3,4,3,2,6,2,1,,5,2,,,1,2,2,3,1,3,3,3,2,2,3,3,2,4,3,3,3,1,3,3,3,3,3,2,3,1,,,,,,,,,,,2,2,7,7,7,7,2,2,2,2,1,,4,,3,5,4,4,3,,,,,,,,,,,,1,4,8,2,4,1,1,6,2,1,1,1,1,12,3,3,2,2,4,1,99,4,2,1,99,,0.6895937700940145
3953,2024-05-10T17:35:39Z,2024-05-10T17:44:04Z,1,1,1,,2,2,2,2,6,2,1,,5,2,,,2,2,2,2,5,1,1,1,1,1,5,5,5,5,2,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,1,1,1,1,1,3,,,,,,,3,,3,5,5,5,5,,,,,,,,,,,,1,3,7,2,4,2,99,99,2,1,1,1,1,1,1,1,,1,1,1,9,1,1,2,3,,0.7589636070014025
3957,2024-05-10T17:35:54Z,2024-05-19T19:32:09Z,1,1,1,,2,3,3,6,6,2,1,,2,2,,,1,2,3,2,5,1,1,1,1,1,4,5,5,4,1,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,3,4,3,3,2,7,,,,,,,3,,,5,5,5,5,,,,,,,,,,,,1,3,7,2,4,1,2,3,1,1,1,3,1,1,1,3,1,1,2,1,1,4,3,2,1,,1.3630223983008949
3960,2024-05-10T17:36:23Z,2024-05-10T17:45:22Z,3,1,1,,2,3,3,6,6,2,1,,2,2,,,1,2,3,2,5,3,1,2,3,3,5,2,2,2,3,1,2,3,3,3,3,3,3,3,2,2,,,,,,,,,,,3,3,3,3,3,3,,,,,,,1,,,5,5,5,5,,,,,,,,,,,,1,2,3,3,4,1,3,1,2,1,1,1,1,12,3,4,1,1,2,1,1,3,2,2,1,,1.346651320383437
3963,2024-05-10T17:36:50Z,2024-05-10T17:46:08Z,1,1,1,,2,3,5,6,6,2,1,,5,2,,,2,2,1,2,5,3,1,3,2,3,3,3,3,4,1,3,3,1,3,3,3,3,2,3,3,2,,,,,,,,,,,2,2,3,3,2,3,,,,,,,3,,2,6,5,5,5,,,,,,,,,,,,1,1,1,2,4,1,3,2,2,1,1,1,1,2,2,3,1,1,2,1,4,3,2,2,2,,1.6312416605532778
3965,2024-05-10T17:37:40Z,2024-05-10T17:49:46Z,2,2,1,,3,3,5,4,5,2,1,,3,2,,,3,2,2,3,1,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,7,7,7,7,7,6,99,99,99,99,99,,99,,99,5,5,5,5,,,,,,,,,,,,1,3,5,2,3,2,2,3,1,4,1,3,4,1,1,1,,1,1,1,2,2,1,2,2,,1.3082182202750687
3967,2024-05-10T17:37:50Z,2024-05-10T17:45:53Z,2,1,1,,5,5,5,6,6,2,1,,5,2,,,1,1,1,3,4,1,1,1,1,1,5,1,5,5,2,2,1,1,3,1,1,1,1,1,1,2,,,,,,,,,,,5,5,5,5,5,1,,,,,,,3,1,3,5,3,1,1,1,1,3,1,3,3,,,,,,2,3,6,2,3,1,2,3,2,1,1,1,1,9,3,2,,2,4,1,1,5,1,2,1,,0.8704270494656738
3972,2024-05-10T17:38:31Z,2024-05-10T17:53:15Z,1,1,1,,2,2,3,6,6,2,1,,2,2,,,1,2,2,2,5,1,3,1,2,1,5,2,3,4,2,3,1,3,3,1,1,1,1,2,1,1,,,,,,,,,,,3,5,7,1,3,7,,,,,,,3,,3,5,3,5,5,,,,,,,,,,,,1,1,1,3,4,2,3,2,2,1,1,1,1,9,3,2,,2,3,1,1,3,2,1,1,,0.4807482540362985
3974,2024-05-10T17:38:34Z,2024-05-10T17:44:04Z,1,1,1,,2,2,2,2,2,2,1,,1,,,,,2,2,1,1,1,3,3,2,3,3,4,4,4,1,3,3,3,3,3,3,3,3,2,3,1,,,,,,,,,,,2,2,3,3,2,3,2,2,2,2,2,3,3,,3,5,3,3,3,,,,,,,,,,,,1,1,2,2,3,2,1,6,2,1,1,1,1,1,1,1,,1,1,1,8,2,2,2,2,,1.628369045822121
3975,2024-05-10T17:38:35Z,2024-05-10T17:42:41Z,1,1,1,,1,2,1,6,1,2,1,,5,1,1,,,2,1,4,5,1,3,1,2,3,3,5,5,5,1,3,3,3,3,3,3,1,3,1,1,2,,,,,,,,,,,1,1,2,3,1,7,,,,,,1,3,,3,5,3,5,5,,,,,,,,,,,,1,4,9,1,3,1,1,6,2,1,3,5,1,9,3,3,2,2,3,1,9,3,2,1,3,,0.6861284181288971
3977,2024-05-10T17:38:41Z,2024-05-10T17:43:33Z,1,1,1,,1,2,2,1,1,2,1,,1,,,,,2,2,2,5,1,3,3,2,3,4,4,4,4,2,3,3,3,3,3,3,3,2,3,1,3,,,,,,,,,,,3,2,2,3,3,3,,,,,,2,3,,3,5,5,5,5,,,,,,,,,,,,1,1,1,2,4,1,1,5,2,1,1,1,1,1,1,3,1,1,2,1,9,3,2,1,2,,0.974784365652551
3978,2024-05-10T17:38:43Z,2024-05-10T17:53:09Z,2,2,1,,1,2,1,2,6,2,1,,5,2,,,3,1,2,2,3,3,3,3,3,3,5,2,1,5,1,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,1,1,1,1,1,1,,,,,,,1,1,1,6,5,5,5,3,,,,,,,,,,,1,4,9,1,3,1,3,2,1,4,1,3,4,2,2,2,,2,3,1,1,3,2,2,1,,1.685738081233506
3980,2024-05-10T17:38:57Z,2024-05-10T17:50:42Z,2,1,1,,2,4,5,6,2,2,1,,1,,,,,1,2,1,5,3,3,3,2,3,4,1,4,5,3,3,3,3,3,3,3,3,3,2,3,3,,,,,,,,,,,3,3,3,3,3,3,,,,,,3,3,3,3,5,5,5,4,2,,,,,,,,,,,1,3,5,2,3,1,3,2,2,1,1,1,1,1,1,1,,1,1,1,4,2,1,2,2,,1.4548678537685438
3981,2024-05-10T17:39:13Z,2024-05-10T17:50:08Z,1,1,1,,2,3,4,6,6,2,1,,2,2,,,1,2,2,3,5,3,3,3,3,3,4,3,5,5,1,3,3,2,3,3,3,3,1,2,3,2,,,,,,,,,,,2,2,2,3,3,6,,,,,,,3,,4,5,2,5,3,,,,,,,,,,,,1,4,9,1,4,2,1,5,2,1,1,1,1,1,1,1,,1,1,1,4,2,2,2,2,,1.8520889065176922
3983,2024-05-10T17:39:26Z,2024-05-10T17:46:49Z,3,1,1,,3,3,4,6,6,2,1,,5,2,,,1,1,3,2,4,3,1,3,3,3,2,2,4,3,3,3,1,1,3,1,1,3,2,1,3,1,,,,,,,,,,,1,3,6,1,1,3,,,,,,,3,3,,3,1,2,1,,,,,,,,,,,,1,1,2,2,3,2,99,99,2,1,4,4,1,1,1,3,1,1,1,1,99,2,2,2,99,,1.1940195328361896
3984,2024-05-10T17:39:30Z,2024-05-10T18:05:52Z,1,1,1,,4,3,4,6,6,2,1,,5,2,,,1,2,2,3,5,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,2,3,1,3,3,1,,,,,,,,,,,3,2,3,2,2,4,,,,,,,4,,5,6,4,4,3,,,,,,,,,,,,1,1,2,2,4,2,2,4,2,1,1,1,1,2,2,3,1,1,2,1,5,3,2,1,2,,0.9480347354438832
3987,2024-05-10T17:39:49Z,2024-05-10T17:50:08Z,1,1,1,,1,1,4,1,6,2,1,,4,1,2,,1,1,2,2,2,3,3,3,2,3,3,3,4,1,2,3,3,3,3,3,3,3,3,1,1,3,,,,,,,,,,,7,1,1,1,1,3,2,2,1,2,2,3,3,3,3,5,5,5,5,3,,,,,,,,,,,1,1,1,3,3,2,3,2,2,1,1,1,1,1,1,3,2,2,3,1,2,3,2,1,2,,0.4002861923457702
3988,2024-05-10T17:39:59Z,2024-05-10T17:53:40Z,2,1,1,,3,4,5,6,6,2,1,,4,2,,,1,2,2,2,4,3,1,3,3,3,4,3,3,5,1,3,3,1,3,3,3,3,3,3,3,1,,,,,,,,,,,3,3,3,2,3,3,,,,,,,99,,99,5,5,5,5,,,,,,,,,,,,1,1,2,2,4,1,3,2,2,1,2,2,1,2,2,2,,2,3,1,1,3,2,2,1,,1.3065524325922082
3989,2024-05-10T17:40:02Z,2024-05-10T18:37:16Z,2,2,1,,1,2,4,2,2,2,1,,2,1,2,,3,1,2,2,4,3,2,3,2,2,3,4,3,5,3,3,3,3,3,1,1,3,3,3,3,3,,,,,,,,,,,3,3,3,3,3,3,,,,,,1,1,1,1,5,5,5,5,3,,,,,,,,,,,1,1,2,1,3,2,3,1,1,3,1,3,4,2,2,1,,1,2,1,3,3,3,2,2,,1.1127756304556113
3991,2024-05-10T17:40:34Z,2024-05-10T17:47:20Z,2,1,1,,2,2,3,2,1,2,1,,1,,,,,1,2,2,1,1,1,1,2,1,5,4,5,3,3,2,1,1,3,3,2,3,3,3,2,1,,,,,,,,,,,1,2,3,2,2,3,2,2,2,2,2,3,3,3,3,4,5,5,4,3,,,,,,,,,,,1,2,3,2,3,1,2,4,2,1,1,1,1,2,2,3,1,1,1,1,9,2,1,2,2,,1.1939944210835394
3992,2024-05-10T17:40:40Z,2024-05-10T18:21:43Z,2,1,1,,3,3,4,5,6,2,1,,5,2,,,1,1,2,2,1,3,3,3,3,3,3,2,3,5,1,3,2,1,3,3,3,3,3,3,3,1,,,,,,,,,,,3,3,3,3,3,3,2,2,1,2,2,,3,3,3,6,3,3,3,1,3,3,3,2,1,,,,,,1,3,5,1,3,1,1,5,2,1,2,2,1,2,2,1,,1,2,1,8,4,1,2,3,,0.6031857808374314
3993,2024-05-10T17:40:41Z,2024-05-10T17:47:00Z,3,1,1,,1,1,2,6,6,2,1,,2,2,,,1,2,1,2,5,1,3,3,2,3,3,3,4,5,1,1,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,3,4,3,3,3,6,,,,,,,3,,2,5,5,4,5,,,,,,,,,,,,1,4,8,2,4,2,3,2,2,1,1,1,1,2,2,3,2,2,3,1,1,3,2,2,1,,0.7057782950591058
3995,2024-05-10T17:41:13Z,2024-05-10T17:52:58Z,2,1,1,,3,2,5,2,6,2,1,,2,2,,,2,1,1,2,1,3,3,3,2,3,2,1,5,3,1,1,3,3,3,3,3,3,3,2,2,3,,,,,,,,,,,2,3,3,3,2,4,1,1,2,2,1,,3,3,2,2,1,1,1,1,1,3,1,1,1,,,,,,2,4,9,3,3,2,2,4,2,1,1,1,1,1,1,1,,1,1,1,7,2,1,2,2,,1.730729132635205
3996,2024-05-10T17:41:28Z,2024-05-10T17:49:50Z,2,1,1,,2,2,2,2,2,2,1,,1,,,,,1,1,2,1,1,3,1,2,3,4,3,4,5,2,3,3,3,3,3,2,1,3,1,1,2,,,,,,,,,,,2,1,1,2,2,4,1,2,1,2,1,3,3,3,3,4,3,3,3,3,,,,,,,,,,,1,3,7,2,3,1,2,3,2,1,1,1,1,1,1,1,,1,1,1,9,2,1,2,3,,1.1846409291884472
3997,2024-05-10T17:41:37Z,2024-05-10T17:52:16Z,2,1,1,,2,2,3,6,6,2,1,,4,2,,,1,1,2,2,3,3,3,3,3,3,3,3,4,3,2,1,1,1,3,2,2,3,3,3,1,1,,,,,,,,,,,3,3,3,3,3,3,,,,,,,4,3,4,5,5,5,5,3,,,,,,,,,,,2,3,6,3,3,1,3,2,2,1,1,1,1,2,2,2,,2,3,1,1,3,2,2,1,,1.4751834238007644
3998,2024-05-10T17:41:38Z,2024-05-13T16:06:44Z,1,1,1,,1,1,3,2,2,2,1,,5,1,1,,,2,2,2,1,3,3,3,2,3,4,2,3,2,1,3,3,1,3,3,3,3,3,3,3,1,,,,,,,,,,,3,2,3,3,2,3,1,2,2,2,2,3,3,,3,5,4,5,5,,,,,,,,,,,,1,1,1,2,3,2,2,3,2,1,1,1,1,2,2,2,,2,3,1,9,3,2,2,2,,0.9963012838921904
3999,2024-05-10T17:41:39Z,2024-05-10T17:55:29Z,1,1,1,,3,4,2,3,6,2,1,,5,2,,,1,2,2,2,1,1,3,1,2,3,3,2,3,5,3,3,1,3,3,2,3,3,3,2,3,3,,,,,,,,,,,1,1,2,4,1,3,1,1,1,2,2,,3,,3,6,5,5,4,,,,,,,,,,,,1,2,3,2,3,1,2,4,2,1,1,1,1,12,3,2,,2,4,1,6,4,2,2,2,,0.9713508374387971
4001,2024-05-10T17:41:56Z,2024-05-10T17:47:45Z,3,1,1,,3,3,4,2,2,2,1,,5,2,,,1,2,2,2,4,3,2,3,3,2,3,3,3,3,3,3,1,1,3,3,2,3,2,3,3,1,,,,,,,,,,,3,4,6,3,7,5,,,,,,,3,,3,4,3,5,5,,,,,,,,,,,,2,1,2,3,3,3,3,2,2,1,1,1,1,12,3,1,,1,1,2,1,2,5,2,1,,3.1978376461165947
4003,2024-05-10T17:42:31Z,2024-05-10T18:38:09Z,2,1,1,,1,2,3,2,1,2,1,,1,,,,,1,2,2,1,3,3,3,2,3,3,3,4,5,2,3,3,3,3,3,3,3,3,3,1,3,,,,,,,,,,,3,3,3,3,3,4,1,1,2,2,1,3,3,3,3,5,3,5,3,1,3,3,2,3,1,,,,,,1,2,3,1,3,2,1,5,2,1,1,1,1,11,4,2,,2,4,1,4,5,2,2,2,,1.4531633921080338
4007,2024-05-10T17:43:01Z,2024-05-10T21:14:46Z,2,1,1,,1,1,5,3,1,2,1,,1,,,,,2,3,2,3,3,3,3,3,3,1,1,5,1,1,1,3,3,3,3,3,3,3,3,3,1,,,,,,,,,,,3,3,3,3,3,3,,,,,,3,3,,,3,3,3,3,,,,,,,,,,,,1,1,2,2,3,2,3,2,2,1,1,1,1,2,2,3,1,1,2,1,1,3,1,2,1,,0.5178796551658781
4010,2024-05-10T17:44:02Z,2024-05-10T17:47:22Z,3,1,1,,2,2,2,6,2,2,1,,1,,,,,2,2,2,5,1,3,3,2,3,1,3,1,2,2,3,3,1,1,3,3,2,3,2,1,1,,,,,,,,,,,1,1,1,2,1,4,,,,,,2,4,,3,5,5,3,2,,,,,,,,,,,,1,2,3,3,3,2,1,5,2,1,1,1,1,2,2,1,,1,1,1,4,2,2,2,2,,1.6967454550678076
4011,2024-05-10T17:44:03Z,2024-05-10T17:50:08Z,1,1,1,,4,4,4,4,6,2,1,,4,2,,,1,1,2,3,2,3,3,3,2,3,1,1,1,5,2,2,3,3,3,3,3,2,2,1,2,1,,,,,,,,,,,1,1,3,1,1,3,1,1,2,2,2,,3,3,3,5,5,4,4,2,,,,,,,,,,,1,3,5,2,3,2,3,2,2,1,1,1,1,12,3,1,,1,1,1,1,2,2,2,1,,0.5051980351166142
4013,2024-05-10T17:44:21Z,2024-05-10T22:43:28Z,2,1,1,,3,2,4,3,6,2,1,,2,2,,,1,2,2,99,2,1,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,,,,,,,,,,,1,1,1,1,1,3,99,99,99,99,99,,3,,3,4,5,5,5,,,,,,,,,,,,1,4,9,2,3,1,3,2,2,1,2,2,1,1,1,3,1,1,1,1,1,2,2,2,1,,0.6800049307976795
4016,2024-05-10T17:44:36Z,2024-05-10T17:50:17Z,2,1,1,,3,3,1,6,6,2,1,,5,2,,,1,2,1,1,5,3,3,3,3,3,3,5,3,5,1,3,3,1,3,3,3,3,3,3,3,3,,,,,,,,,,,7,7,7,7,7,7,,,,,,,3,,3,6,5,5,5,,,,,,,,,,,,1,1,2,1,4,2,2,3,2,1,1,1,1,2,2,2,,2,3,1,99,3,2,1,99,,0.8663039583467306
4020,2024-05-10T17:45:28Z,2024-05-10T17:55:19Z,2,1,1,,1,2,2,3,1,2,1,,1,,,,,2,2,2,1,3,3,3,3,3,3,3,3,5,3,3,3,3,3,1,1,3,3,1,3,1,,,,,,,,,,,1,1,2,2,1,3,2,2,1,1,1,3,3,,3,4,3,3,4,,,,,,,,,,,,1,1,2,3,4,1,3,2,2,1,1,1,1,1,1,2,,2,3,1,6,3,2,2,2,,1.4673821386119208
